step,heater_power,T_room,T_sensor
227,1.000,62.935,40.416
228,1.000,63.130,40.568
229,1.000,63.326,40.719
230,1.000,63.522,40.871
231,1.000,63.717,41.024
232,1.000,63.913,41.176
233,1.000,64.109,41.329
234,1.000,64.304,41.482
235,1.000,64.500,41.636
236,1.000,64.695,41.789
237,1.000,64.891,41.944
238,1.000,65.086,42.098
239,1.000,65.282,42.252
240,1.000,65.477,42.407
241,1.000,65.673,42.562
242,1.000,65.868,42.718
243,1.000,66.064,42.873
244,1.000,66.259,43.029
245,1.000,66.454,43.185
246,1.000,66.650,43.342
247,1.000,66.845,43.498
248,1.000,67.040,43.655
249,1.000,67.236,43.813
250,1.000,67.431,43.970
251,1.000,67.626,44.128
252,1.000,67.821,44.286
253,1.000,68.017,44.444
254,1.000,68.212,44.602
255,1.000,68.407,44.761
256,1.000,68.602,44.920
257,1.000,68.797,45.079
258,1.000,68.992,45.239
259,1.000,69.188,45.398
260,1.000,69.383,45.558
261,1.000,69.578,45.718
262,1.000,69.773,45.879
263,1.000,69.968,46.039
264,1.000,70.163,46.200
265,1.000,70.358,46.361
266,1.000,70.553,46.522
267,1.000,70.748,46.684
268,1.000,70.943,46.846
269,1.000,71.137,47.008
270,1.000,71.332,47.170
271,1.000,71.527,47.332
272,1.000,71.722,47.495
273,1.000,71.917,47.658
274,1.000,72.112,47.821
275,1.000,72.306,47.984
276,1.000,72.501,48.147
277,1.000,72.696,48.311
278,1.000,72.891,48.475
279,1.000,73.085,48.639
280,1.000,73.280,48.803
281,1.000,73.475,48.968
282,1.000,73.669,49.132
283,1.000,73.864,49.297
284,1.000,74.059,49.462
285,1.000,74.253,49.628
286,1.000,74.448,49.793
287,1.000,74.642,49.959
288,1.000,74.837,50.125
289,1.000,75.031,50.291
290,1.000,75.226,50.457
291,1.000,75.420,50.623
292,1.000,75.615,50.790
293,1.000,75.809,50.957
294,1.000,76.004,51.124
295,1.000,76.198,51.291
296,1.000,76.393,51.458
297,1.000,76.587,51.626
298,1.000,76.781,51.793
299,1.000,76.976,51.961
300,1.000,77.170,52.129
301,1.000,77.364,52.298
302,1.000,77.558,52.466
303,1.000,77.753,52.635
304,1.000,77.947,52.803
305,1.000,78.141,52.972
306,1.000,78.335,53.141
307,1.000,78.529,53.311
308,1.000,78.724,53.480
309,1.000,78.918,53.650
310,0.000,79.112,53.819
311,0.000,79.106,53.988
312,0.000,79.100,54.155
313,0.000,79.094,54.322
314,0.000,79.088,54.487
315,0.000,79.082,54.651
316,0.000,79.076,54.813
317,0.000,79.070,54.975
318,0.000,79.065,55.136
319,0.000,79.059,55.295
320,0.000,79.053,55.454
321,0.000,79.047,55.611
322,0.000,79.041,55.767
323,0.000,79.035,55.922
324,0.000,79.029,56.076
325,0.000,79.023,56.229
326,0.000,79.017,56.381
327,0.000,79.011,56.532
328,0.000,79.006,56.682
329,0.000,79.000,56.831
330,0.000,78.994,56.978
331,0.000,78.988,57.125
332,0.000,78.982,57.271
333,0.000,78.976,57.416
334,0.000,78.970,57.559
